SUBID,ses,analysis,stats,TCK,tck_mean,tck_std,tck_min,tck_max,tck_count
S017,T02,AL_07,75.592247 18.5718174 39.2878189 114.518608 312 ,R_Area_13l,75.592247,18.5718174,39.2878189,114.518608,312
S017,T02,AL_07,72.4005737 7.00887775 56.3426628 93.5703354 1334 ,R_Orbital_Frontal_Complex,72.40057370000001,7.00887775,56.3426628,93.5703354,1334
S017,T02,AL_07,27.6674137 4.78491688 20.0032349 44.8278198 3488 ,R_posterior_OFC_Complex,27.667413699999997,4.78491688,20.0032349,44.8278198,3488
S017,T02,AL_07,72.2848282 8.02859306 51.4860153 96.3455429 2381 ,R_Area_44,72.2848282,8.02859306,51.4860153,96.3455429,2381
S017,T02,AL_07,73.138298 5.56646919 57.4921532 90.6919327 4019 ,R_Area_45,73.13829799999999,5.56646919,57.492153200000004,90.69193270000001,4019
S017,T02,AL_07,72.7484741 5.71076393 57.7878571 89.6300964 3525 ,R_Area_47l,72.7484741,5.71076393,57.7878571,89.6300964,3525
S017,T02,AL_07,71.170929 4.92588568 56.8267479 86.72612 3559 ,R_Area_posterior_47r,71.170929,4.92588568,56.826747899999994,86.72612,3559
S017,T02,AL_07,63.5940514 6.11244678 47.1361122 83.6585464 2992 ,R_Area__IFSa,63.5940514,6.11244678,47.13611220000001,83.6585464,2992
S017,T02,AL_07,66.5881805 8.84662342 47.4632149 88.5840683 3417 ,R_Area_IFSp,66.5881805,8.84662342,47.4632149,88.5840683,3417
S017,T02,AL_07,90.8169632 9.65290546 61.4556236 109.672035 699 ,R_Area_IFJa,90.8169632,9.65290546,61.4556236,109.67203500000001,699
S017,T02,AL_07,60.5813942 7.52177286 44.1539879 84.6665955 633 ,R_Area_IFJp,60.581394200000005,7.52177286,44.1539879,84.6665955,633
S017,T02,AL_07,77.1186905 4.82511091 62.7171669 92.6151199 4211 ,R_Area_9_anterior,77.1186905,4.82511091,62.7171669,92.6151199,4211
S017,T02,AL_07,75.7087631 5.11771202 58.5062408 92.6711044 3685 ,R_Area_9_Posterior,75.7087631,5.11771202,58.50624079999999,92.6711044,3685
S017,T02,AL_07,63.2510223 5.45295668 45.1956635 81.2418137 3470 ,R_Area_8Ad,63.2510223,5.45295668,45.1956635,81.2418137,3470
S017,T02,AL_07,66.35746 4.94657516 49.7226257 82.6700897 4052 ,R_Area_9-46d,66.35746,4.94657516,49.7226257,82.6700897,4052
S017,T02,AL_07,70.955162 5.11505747 54.8169174 86.6393127 4312 ,R_Area_anterior_9-46v,70.955162,5.11505747,54.8169174,86.6393127,4312
