SUBID,TCK,corr,btw,analysis
S023,R_posterior_OFC_Complex,0.9878704306867889,T01vsT02,AL_07_fix
S022,R_posterior_OFC_Complex,-0.08457802967545296,T01vsT02,AL_07_fix
S021,R_posterior_OFC_Complex,0.10953547501703888,T01vsT02,AL_07_fix
S020,R_posterior_OFC_Complex,0.9467831970118832,T01vsT02,AL_07_fix
S018,R_posterior_OFC_Complex,0.934491960902335,T01vsT02,AL_07_fix
S017,R_posterior_OFC_Complex,0.9704894834724396,T01vsT02,AL_07_fix
S016,R_posterior_OFC_Complex,0.9447377656923253,T01vsT02,AL_07_fix
26CAMINO3920,R_posterior_OFC_Complex,0.9902427663838229,T01vsT02,AL_07_fix
41TPEF4693,R_posterior_OFC_Complex,0.7941330245234108,T01vsT02,AL_07_fix
07CAMINO6124,R_posterior_OFC_Complex,0.935481220484523,T01vsT02,AL_07_fix
S038,L_Area_13l,0.7497284432531495,T01vsT02,AL_07_fix
S037,L_Area_13l,0.7690518915607927,T01vsT02,AL_07_fix
S036,L_Area_13l,0.920188888720396,T01vsT02,AL_07_fix
S035,L_Area_13l,0.728342849345901,T01vsT02,AL_07_fix
S034,L_Area_13l,0.8480847046044522,T01vsT02,AL_07_fix
S033,L_Area_13l,0.9758845023894362,T01vsT02,AL_07_fix
S032,L_Area_13l,0.9626282453489569,T01vsT02,AL_07_fix
S031,L_Area_13l,0.5594174717458542,T01vsT02,AL_07_fix
TOT7729F,L_Area_13l,0.7238215402484576,T01vsT02,AL_07_fix
S029,L_Area_13l,0.9458495239828897,T01vsT02,AL_07_fix
S028,L_Area_13l,0.7169011778713171,T01vsT02,AL_07_fix
S027,L_Area_13l,0.8409139354500464,T01vsT02,AL_07_fix
S025,L_Area_13l,0.8847859182792812,T01vsT02,AL_07_fix
S024,L_Area_13l,0.9447841033841022,T01vsT02,AL_07_fix
S023,L_Area_13l,0.9962217116975696,T01vsT02,AL_07_fix
S022,L_Area_13l,0.9756202872975247,T01vsT02,AL_07_fix
S021,L_Area_13l,0.37017262819252217,T01vsT02,AL_07_fix
S020,L_Area_13l,0.9135373498101251,T01vsT02,AL_07_fix
S018,L_Area_13l,0.6900115396511997,T01vsT02,AL_07_fix
S017,L_Area_13l,0.9073584919650977,T01vsT02,AL_07_fix
S016,L_Area_13l,0.9413202905640156,T01vsT02,AL_07_fix
