SUBID,TCK,corr,btw,analysis,SUBID2
S024,L_Area_9_Middle,0.9886764237467421,T01vsT02,AL_07,
S023,L_Area_9_Middle,0.9995720519072264,T01vsT02,AL_07,
S022,L_Area_9_Middle,0.9775353634210608,T01vsT02,AL_07,
S021,L_Area_9_Middle,0.9931041474279064,T01vsT02,AL_07,
S020,L_Area_9_Middle,0.9923899227086287,T01vsT02,AL_07,
S018,L_Area_9_Middle,0.9972246998501049,T01vsT02,AL_07,
S017,L_Area_9_Middle,0.9950064250292838,T01vsT02,AL_07,
S016,L_Area_9_Middle,0.9830195031857626,T01vsT02,AL_07,
26CAMINO3920,L_Area_9_Middle,0.9973144277352255,T01vsT02,AL_07,
41TPEF4693,L_Area_9_Middle,0.9928080936750235,T01vsT02,AL_07,
07CAMINO6124,L_Area_9_Middle,0.992069086829773,T01vsT02,AL_07,
S038,L_Area_10r,0.9382543970978955,T01vsT02,AL_07,
S037,L_Area_10r,0.9906863280323286,T01vsT02,AL_07,
S036,L_Area_10r,0.8445034746331063,T01vsT02,AL_07,
S035,L_Area_10r,0.9733890321952312,T01vsT02,AL_07,
S034,L_Area_10r,0.8745835341698083,T01vsT02,AL_07,
S033,L_Area_10r,0.9814499051093774,T01vsT02,AL_07,
S032,L_Area_10r,0.9858705636504003,T01vsT02,AL_07,
S031,L_Area_10r,0.9878671240794594,T01vsT02,AL_07,
TOT7729F,L_Area_10r,0.9618177584631508,T01vsT02,AL_07,
S029,L_Area_10r,0.9823994896455527,T01vsT02,AL_07,
S028,L_Area_10r,0.9814450015734587,T01vsT02,AL_07,
S027,L_Area_10r,0.9785881540156471,T01vsT02,AL_07,
S025,L_Area_10r,0.9928995408576348,T01vsT02,AL_07,
S024,L_Area_10r,0.8966728777411642,T01vsT02,AL_07,
S023,L_Area_10r,0.9969760343885492,T01vsT02,AL_07,
S022,L_Area_10r,0.8118033920854482,T01vsT02,AL_07,
S021,L_Area_10r,0.76538177037705,T01vsT02,AL_07,
